Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
120346,10509880,HZ251244,5/4/2016 15:28,069XX S LAFAYETTE AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,731,7,6,69,6,1177024,1859232,2016,5/11/2016 15:50,41.7690705,-87.62666845,"(41.769070498, -87.626668445)"
120499,10509882,HZ251487,5/4/2016 7:20,0000X W 26TH ST,890,THEFT,FROM BUILDING,HOTEL/MOTEL,FALSE,FALSE,133,1,3,35,6,1176575,1887109,2016,5/11/2016 15:50,41.84557767,-87.62747503,"(41.845577671, -87.627475027)"
121086,10509886,HZ251375,5/4/2016 7:00,025XX E 76TH ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,421,4,7,43,7,1194348,1855059,2016,5/11/2016 15:50,41.75721134,-87.5633049,"(41.757211342, -87.563304897)"
121153,10509887,HZ251459,5/4/2016 17:15,012XX N CLYBOURN AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1821,18,27,8,6,1172828,1908553,2016,5/11/2016 15:50,41.90450514,-87.64059087,"(41.904505139, -87.640590874)"
121196,10509888,HZ251429,5/4/2016 17:00,011XX W JACKSON BLVD,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,1232,12,2,28,6,1168933,1898798,2016,5/11/2016 15:50,41.87782218,-87.65518141,"(41.877822179, -87.655181405)"
121263,10509889,HZ251358,5/4/2016 16:44,076XX S CICERO AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,833,8,13,65,6,1145727,1853720,2016,5/11/2016 15:50,41.75459296,-87.74152854,"(41.754592961, -87.741528537)"
121717,10509891,HZ251410,5/4/2016 17:00,076XX S CICERO AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,833,8,13,65,6,1145727,1853720,2016,5/11/2016 15:50,41.75459296,-87.74152854,"(41.754592961, -87.741528537)"
121761,10509895,HZ251453,5/4/2016 14:00,003XX N MICHIGAN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SIDEWALK,FALSE,FALSE,111,1,42,32,11,1177242,1902518,2016,5/11/2016 15:50,41.88784585,-87.62456034,"(41.887845852, -87.624560336)"
122370,10509897,HZ251392,5/4/2016 16:35,064XX W FULLERTON AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,2512,25,36,19,6,1133118,1915251,2016,5/11/2016 15:50,41.92367262,-87.78630161,"(41.923672617, -87.786301606)"
122413,10509903,HZ251511,5/4/2016 18:35,097XX S JEFFERY AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,431,4,7,51,26,1191212,1840858,2016,5/11/2016 15:50,41.71831893,-87.57525608,"(41.718318926, -87.575256082)"
122435,10509906,HZ251470,5/4/2016 17:45,010XX W WILSON AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,FALSE,TRUE,1914,19,46,3,08B,1168692,1930721,2016,5/11/2016 15:50,41.96542582,-87.6551393,"(41.965425822, -87.655139299)"
122478,10509909,HZ251294,5/4/2016 16:03,030XX N BROADWAY,560,ASSAULT,SIMPLE,DRUG STORE,FALSE,FALSE,1934,19,44,6,08A,1171724,1920381,2016,5/11/2016 15:50,41.93698613,-87.64429705,"(41.936986127, -87.644297045)"
122565,10509911,HZ251320,5/4/2016 16:30,008XX W LAWRENCE AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,TRUE,1914,19,46,3,08B,1169822,1932084,2016,5/11/2016 15:50,41.96914132,-87.65094465,"(41.969141315, -87.650944654)"
123152,10509914,HZ251475,5/4/2016 15:30,052XX S LAKE PARK AVE,890,THEFT,FROM BUILDING,ATHLETIC CLUB,FALSE,FALSE,234,2,4,41,6,1187633,1870769,2016,5/11/2016 15:50,41.80048316,-87.58741453,"(41.800483161, -87.587414531)"
123174,10509915,HZ251330,5/4/2016 15:30,055XX W GRAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,POLICE FACILITY/VEH PARKING LOT,FALSE,FALSE,2515,25,29,19,14,1138788,1913480,2016,5/11/2016 15:50,41.91871165,-87.76551063,"(41.918711651, -87.76551063)"
